三生三:0.0892359760754053	生三世:0.0892359760754053	三世枕:0.03978682034066078	
地址:0.05712645784612092	商业街:0.017183391392137357	龙胜街:0.015461944948874411	
北京人:0.06323882420437021	的凉菜:0.023043766828949486	这道菜:0.020377755815320243	
30p:0.10221165939474977	0pr:0.10221165939474977	pro:0.07843099197701058	
世界杯:0.10842242111179595	餐厅酒:0.10839519445267985	厅酒吧:0.10839519445267985	
纪录片:0.02799468395988169	的烧烤:0.02289932765822061	烧烤摊:0.021970178789367655	
惠若琪:0.08155430207559441	张国伟:0.08155430207559441	bab:0.05426579072412994	
我与你:0.0629850530775089	你的光:0.0629850530775089	的光年:0.0629850530775089	
无人机:0.19453549691657313	用无人:0.13844511105447796	军用无:0.12852147951770757	
越多的:0.15293123575723117	来越多:0.1294953816089555	欧美各:0.1259701061550178	
个动作:0.03909269429295947	哑铃的:0.02578440900035367	肌肉群:0.02578440900035367	
实践队:0.1037590968112569	践队员:0.09829645629274379	孩子们:0.025657100948953404	
新兴市:0.03205494857166166	兴市场:0.03205494857166166	开发者:0.031890292850142866	
PS:0.055751291879857785	水果蛋:0.044434447903718664	果蛋糕:0.044434447903718664	
纪念品:0.09006831517043282	蒂尔达:0.06004554344695521	尔达·:0.06004554344695521	
叙利亚:0.12445453757689381	S30:0.09416374190729304	俄罗斯:0.06370616461222128	
···:0.10146830061181512	刚:0.08141136608933071	源最近:0.054278387131619414	
战斧:0.11423692606519671	巡航导:0.10149549459214381	航导弹:0.10149549459214381	
翻译手:0.09806030118500375	译手机:0.09806030118500375	S20:0.08580509401491519	
卫生间:0.020768729863556854	．卫生:0.013696996248922509	AMP:0.013696996248922509	
将茄子:0.04419929464748728	翻炒均:0.04345845885665665	炒均匀:0.04271686037931436	
倪光南:0.05900148928642028	操作系:0.05217383805143019	作系统:0.051006864980004105	
高血压:0.08669402874941882	血压患:0.06575741683622767	压患者:0.06575741683622767	
的拍法:0.03899045120950083	可能是:0.020461860842202598	能是一:0.018676385069044562	
扶摇:0.056657371257686655	楚乔传:0.051415757888028525	这部剧:0.03459229473063323	
荐选择:0.10831440454740036	推荐选:0.1012475531781832	选择元:0.08123735706257489	
葡萄柚:0.03655432483491933	让双脚:0.027418850930238707	赤脚行:0.027418850930238707	
哈勒普:0.10558619159219303	的比赛:0.01977782655213042	件好事:0.0192911735316014	
支付宝:0.07788608300446134	用卡还:0.07722272023099415	卡还款:0.07722272023099415	
装地漏:0.06004554344695521	安装地:0.05004002440849548	个小改:0.040028290761937334	
weg:0.13810102116313794	ega:0.12909077553075832	gam:0.12909077553075832	
空气净:0.1513132779803835	气净化:0.1513132779803835	净化器:0.1513132779803835	
米利厄:0.19666748788266866	利厄斯:0.19666748788266866	驱逐舰:0.14573521570577916	
bab:0.08570132688848532	aby:0.08444488160133971	这期的:0.045148659320720624	
易烊千:0.06571963874588077	烊千玺:0.06571963874588077	综艺嘉:0.051444525838738896	
吃香蕉:0.16181367799519725	香蕉的:0.06924316343262005	夏季吃:0.05193547987851425	
王子文:0.139518187198372	练瑜伽:0.08141136608933071	在练瑜:0.027139193565809707	
王大陆:0.20170506290968368	微博:0.12285788922175474	简笔画:0.08631469187898581	
李承铉:0.10569183992986621	小Lu:0.08454974317903391	cky:0.08454974317903391	
小嶋阳:0.21429833105789242	嶋阳菜:0.21429833105789242	阳菜旅:0.21429833105789242	
大S的:0.04893382416697633	终止怀:0.03670347542928146	止怀孕:0.03670347542928146	
音乐I:0.07032450524174551	乐IP:0.07032450524174551	IP改:0.041517944951774355	
运输机:0.1030470251100631	型运输:0.06010662355184841	9中型:0.05798850816637746	
军事类:0.12331646849699153	事类玩:0.12331646849699153	类玩具:0.12331646849699153	
OPP:0.020179913525851113	PPO:0.020179913525851113	viv:0.017757536237170083	
的小说:0.10639736485545565	古龙的:0.07539562545005803	龙的小:0.06462570961549237	
SS–:0.0553659435488433	S–1:0.0553659435488433	–18:0.0553659435488433	
水木年:0.12068809274263298	木年华:0.12068809274263298	卢庚戌:0.08465083165485601	
角戏份:0.028661772549923144	配角戏:0.02388273892223648	给配角:0.019109919902648237	
